Sample_ID,sample,id_seq,site,plot,core,extraction_replicate,id_cropped,site_c,dist_to_core,m_temp_dia,temp_vert,m_moisture,m_depth,m_conductivity,m_graminoid,m_forbs,m_bryo,lichen,litter,rock,bare_ground,m_dwarf,cushion,crust,m_total_cover,m_pH,m_CEC,m_TOC,m_TN,Silt,Sand,Mn_AO,Fe_DCB,Clay,BD,Resin-P_MEAN,NH4_MEAN,NO3_MEAN,m_plant_shannon,m_mean_qPCR_16s,m_mean_qPCR_ITS,m_ratio,m_microbe_shannon,CO2fluxlight,CO2fluxdark,CH4fluxlight,CH4fluxdark,ResinP,NaHCO3P,NaOHP,HClP,TotP,ITS_Observed,rel_ab_ascomycota,rel_ab_basidiomycota,m_ratio_BasidiomycotaAscomycota,m_fungi_shannon
AD-T-BP-08-3_S2121,AD-T-BP-08-3_S2121,337111_057-AD-T-BP-08_O-A-3_S32,ADT,8,no,3,AD-T-BP-08-O-A-3_S43_L001_R1_001.cropped.fastq.gz ,tundra_gradient,111.28,7.4,6.5,25.2,16.52,0.09,17,1,80,0.5,10,NA,NA,20,NA,3,131.5,5.194,4.774,7.047,0.627,67.563,10.929,0.096,13.066,20.888,1.044,NA,NA,NA,1.251402214,5932678971,3845353841,0.648164827,7.116567936,NA,NA,NA,NA,NA,NA,NA,NA,NA,419,0.398211607,0.601788393,1.511227655,4.253837768
AD-T-BP-09-1_S2137,AD-T-BP-09-1_S2137,337111_003-AD-T-BP-09_O-A-1_S11,ADT,9,no,1,AD-T-BP-09-O-A-1_S97_L001_R1_001.cropped.fastq.gz ,tundra_gradient,135.93,6,4.8,31.2,37.96,0.1,2,70,15,0,25,NA,NA,15,NA,NA,127,5.853,11.202,11.398,0.906,53.524,39.531,0.151,2.197,7.054,0.646,NA,NA,NA,0.890035492,4675715245,2025780475,0.433255741,7.592544419,NA,NA,NA,NA,NA,NA,NA,NA,NA,441,0.373687328,0.626312672,1.676034011,4.165171124
AD-T-BP-09-2_S2138,AD-T-BP-09-2_S2138,337111_004-AD-T-BP-09_O-A-2_S18,ADT,9,no,2,AD-T-BP-09-O-A-2_S98_L001_R1_001.cropped.fastq.gz ,tundra_gradient,135.93,6,4.8,31.2,37.96,0.1,2,70,15,0,25,NA,NA,15,NA,NA,127,5.853,11.202,11.398,0.906,53.524,39.531,0.151,2.197,7.054,0.646,NA,NA,NA,0.890035492,4871080485,2103576954,0.431850174,7.583363058,NA,NA,NA,NA,NA,NA,NA,NA,NA,413,0.291369904,0.708630096,2.432063463,3.97212651
AD-T-BP-09-3_S2139,AD-T-BP-09-3_S2139,337111_005-AD-T-BP-09_O-A-3_S23,ADT,9,no,3,AD-T-BP-09-O-A-3_S99_L001_R1_001.cropped.fastq.gz ,tundra_gradient,135.93,6,4.8,31.2,37.96,0.1,2,70,15,0,25,NA,NA,15,NA,NA,127,5.853,11.202,11.398,0.906,53.524,39.531,0.151,2.197,7.054,0.646,NA,NA,NA,0.890035492,3370709421,2510525197,0.744806177,7.603537776,NA,NA,NA,NA,NA,NA,NA,NA,NA,395,0.38973328,0.61026672,1.565857349,4.17722762
AD-T-BP-10-1_S2095,AD-T-BP-10-1_S2095,337111_026-AD-T-BP-10_O-A-1_S27,ADT,10,no,1,AD-T-BP-10-O-A-1_S14_L001_R1_001.cropped.fastq.gz ,tundra_gradient,111.86,6.1,5.2,24,17.16,0.21,10,2,55,1,5,NA,NA,35,NA,10,118,5.687,5.574,8.865,0.731,60.984,23.204,0.13,10.98,16.646,0.828,NA,NA,NA,1.212031753,3194390521,1579844652,0.494568414,7.127351617,NA,NA,NA,NA,NA,NA,NA,NA,NA,214,0.373586075,0.626413925,1.676759298,3.096323194
AD-T-BP-10-2_S2096,AD-T-BP-10-2_S2096,337111_027-AD-T-BP-10_O-A-2_S46,ADT,10,no,2,AD-T-BP-10-O-A-2_S15_L001_R1_001.cropped.fastq.gz ,tundra_gradient,111.86,6.1,5.2,24,17.16,0.21,10,2,55,1,5,NA,NA,35,NA,10,118,5.687,5.574,8.865,0.731,60.984,23.204,0.13,10.98,16.646,0.828,NA,NA,NA,1.212031753,3179185724,1382135471,0.434745117,7.115819885,NA,NA,NA,NA,NA,NA,NA,NA,NA,195,0.356372575,0.643627425,1.806052066,2.94894314
AD-T-BP-10-3_S2097,AD-T-BP-10-3_S2097,337111_028-AD-T-BP-10_O-A-3_S70,ADT,10,no,3,AD-T-BP-10-O-A-3_S16_L001_R1_001.cropped.fastq.gz ,tundra_gradient,111.86,6.1,5.2,24,17.16,0.21,10,2,55,1,5,NA,NA,35,NA,10,118,5.687,5.574,8.865,0.731,60.984,23.204,0.13,10.98,16.646,0.828,NA,NA,NA,1.212031753,3270940147,2646258487,0.809020761,7.170638316,NA,NA,NA,NA,NA,NA,NA,NA,NA,172,0.291378769,0.708621231,2.431959041,3.030202924
BJ-B-BP-01-OA-1_R1_trimmed_fastp_filterAndTrim.fastq.gz,BJ-B-BP-01-OA-1_R1_trimmed_fastp_filterAndTrim.fastq.gz,337111_006-BJ-B-BP_01_O-A-1_S104,BJB,1,yes,1,BJ-B-BP-01-O-A-1_S100_L001_R1_001.cropped.fastq.gz ,bird_cliff_core,14.603,2.8,1.6,24.5,25.74,0.04,25,80,75,NA,2,NA,NA,5,NA,NA,187,5.827,5.672,9.074,0.735,65.792,17.186,0.128,10.383,17.182,0.866,0.4,5.4,0.4,1.177183056,3277078832,2823380729,0.861554108,7.690903077,0.004029036,0.003390912,-1.48E-07,-1.71E-07,13.907,13.726,44.122,190.163,261.918,520,0.416520835,0.583479165,1.400840285,3.980366587
BJ-B-BP-01-OA-2_R1_trimmed_fastp_filterAndTrim.fastq.gz,BJ-B-BP-01-OA-2_R1_trimmed_fastp_filterAndTrim.fastq.gz,337111_007-BJ-B-BP_01_O-A-2_S45,BJB,1,yes,2,BJ-B-BP-01-O-A-2_S101_L001_R1_001.cropped.fastq.gz ,bird_cliff_core,14.603,2.8,1.6,24.5,25.74,0.04,25,80,75,NA,2,NA,NA,5,NA,NA,187,5.827,5.672,9.074,0.735,65.792,17.186,0.128,10.383,17.182,0.866,0.4,5.4,0.4,1.177183056,3799142662,NA,2.039907313,7.646091311,0.004029036,0.003390912,-1.48E-07,-1.71E-07,13.907,13.726,44.122,190.163,261.918,433,0.518066446,0.481933554,0.93025433,3.885055074
BJ-B-BP-01-OA-3_R1_trimmed_fastp_filterAndTrim.fastq.gz,BJ-B-BP-01-OA-3_R1_trimmed_fastp_filterAndTrim.fastq.gz,337111_010-BJ-B-BP_01_O-A-3_S90,BJB,1,yes,3,BJ-B-BP-01-O-A-3_S102_L001_R1_001.cropped.fastq.gz ,bird_cliff_core,14.603,2.8,1.6,24.5,25.74,0.04,25,80,75,NA,2,NA,NA,5,NA,NA,187,5.827,5.672,9.074,0.735,65.792,17.186,0.128,10.383,17.182,0.866,0.4,5.4,0.4,1.177183056,2818488284,2256710324,0.800681109,7.564252967,0.004029036,0.003390912,-1.48E-07,-1.71E-07,13.907,13.726,44.122,190.163,261.918,513,0.412382033,0.587617967,1.424935909,4.083534737
BJ-B-BP-02-OA-1_R1_trimmed_fastp_filterAndTrim.fastq.gz,BJ-B-BP-02-OA-1_R1_trimmed_fastp_filterAndTrim.fastq.gz,337111_079-BJ-B-BP_02_O-A-1_S47,BJB,2,yes,1,BJ-B-BP-02-O-A-1_S65_L001_R1_001.cropped.fastq.gz ,bird_cliff_core,12.015,5.7,4.8,25.7,29.4,0,15,90,90,NA,2,NA,NA,3,NA,NA,200,5.818,5.45,8.659,0.713,61.689,22.261,0.116,10.293,16.274,0.888,0.6,5.3,0.5,1.242939753,6072101409,2535979352,0.417644433,7.656571856,0.002962328,0.003765967,-2.26E-07,-1.30E-07,11.275,10.499,36.513,205.679,263.966,483,0.903143735,0.096856265,0.107243466,3.76502102
BJ-B-BP-02-OA-2_R1_trimmed_fastp_filterAndTrim.fastq.gz,BJ-B-BP-02-OA-2_R1_trimmed_fastp_filterAndTrim.fastq.gz,337111_080-BJ-B-BP_02_O-A-2_S114,BJB,2,yes,2,BJ-B-BP-02-O-A-2_S66_L001_R1_001.cropped.fastq.gz ,bird_cliff_core,12.015,5.7,4.8,25.7,29.4,0,15,90,90,NA,2,NA,NA,3,NA,NA,200,5.818,5.45,8.659,0.713,61.689,22.261,0.116,10.293,16.274,0.888,0.6,5.3,0.5,1.242939753,6909631120,2359087879,0.341420235,7.641772906,0.002962328,0.003765967,-2.26E-07,-1.30E-07,11.275,10.499,36.513,205.679,263.966,637,0.863021768,0.136978232,0.158719325,4.471669826
BJ-B-BP-02-OA-3_R1_trimmed_fastp_filterAndTrim.fastq.gz,BJ-B-BP-02-OA-3_R1_trimmed_fastp_filterAndTrim.fastq.gz,337111_081-BJ-B-BP_02_O-A-3_S97,BJB,2,yes,3,BJ-B-BP-02-O-A-3_S67_L001_R1_001.cropped.fastq.gz ,bird_cliff_core,12.015,5.7,4.8,25.7,29.4,0,15,90,90,NA,2,NA,NA,3,NA,NA,200,5.818,5.45,8.659,0.713,61.689,22.261,0.116,10.293,16.274,0.888,0.6,5.3,0.5,1.242939753,4240278871,1333050326,0.314377985,7.600152067,0.002962328,0.003765967,-2.26E-07,-1.30E-07,11.275,10.499,36.513,205.679,263.966,598,0.866545799,0.133454201,0.154007095,4.493706064
BJ-B-BP-03-OA-1_R1_trimmed_fastp_filterAndTrim.fastq.gz,BJ-B-BP-03-OA-1_R1_trimmed_fastp_filterAndTrim.fastq.gz,337111_092-BJ-B-BP_03_O-A-1_S108,BJB,3,yes,1,BJ-B-BP-03-O-A-1_S78_L001_R1_001.cropped.fastq.gz ,bird_cliff_core,33.14,4.4,3.8,22.5,29.16,0.08,60,25,30,NA,2,NA,NA,2,NA,NA,119,5.881,4.737,7.108,0.568,57.624,27.893,0.213,9.718,15.561,0.943,3.4,19.3,0.1,1.358069348,6710631151,1199617627,0.178763756,7.716819726,0.004064637,0.004544545,-2.47E-07,-3.57E-07,32.146,21.364,64.602,225.357,343.469,553,0.564241786,0.435758214,0.772289866,4.165319944
BJ-B-BP-03-OA-2_R1_trimmed_fastp_filterAndTrim.fastq.gz,BJ-B-BP-03-OA-2_R1_trimmed_fastp_filterAndTrim.fastq.gz,337111_093-BJ-B-BP_03_O-A-2_S2,BJB,3,yes,2,BJ-B-BP-03-O-A-2_S79_L001_R1_001.cropped.fastq.gz ,bird_cliff_core,33.14,4.4,3.8,22.5,29.16,0.08,60,25,30,NA,2,NA,NA,2,NA,NA,119,5.881,4.737,7.108,0.568,57.624,27.893,0.213,9.718,15.561,0.943,3.4,19.3,0.1,1.358069348,6802718036,1778279789,0.261407246,7.637676663,0.004064637,0.004544545,-2.47E-07,-3.57E-07,32.146,21.364,64.602,225.357,343.469,613,0.666073137,0.333926863,0.501336632,4.281867838
BJ-B-BP-03-OA-3_R1_trimmed_fastp_filterAndTrim.fastq.gz,BJ-B-BP-03-OA-3_R1_trimmed_fastp_filterAndTrim.fastq.gz,337111_094-BJ-B-BP_03_O-A-3_S67,BJB,3,yes,3,BJ-B-BP-03-O-A-3_S80_L001_R1_001.cropped.fastq.gz ,bird_cliff_core,33.14,4.4,3.8,22.5,29.16,0.08,60,25,30,NA,2,NA,NA,2,NA,NA,119,5.881,4.737,7.108,0.568,57.624,27.893,0.213,9.718,15.561,0.943,3.4,19.3,0.1,1.358069348,5137460138,1106280447,0.215336064,7.54290583,0.004064637,0.004544545,-2.47E-07,-3.57E-07,32.146,21.364,64.602,225.357,343.469,609,0.759468229,0.240531771,0.316710775,4.56174192
BJ-B-BP-05-1_S2089,BJ-B-BP-05-1_S2089,337111_019-BJ-B-BP_05_O-A-1_S60,BJB,5,no,1,BJ-B-BP-05-O-A-1_S7_L001_R1_001.cropped.fastq.gz ,bird_cliff_gradient,92.68,6.5,6.5,29.3,9.64,0.1,5,8,95,NA,8,NA,NA,20,NA,NA,136,5.72,7.375,10.247,0.812,47.33,45.015,0.143,7.353,9.749,0.791,NA,NA,NA,1.210737482,3156626088,3374612937,1.069056912,7.57011621,NA,NA,NA,NA,NA,NA,NA,NA,NA,390,0.297700207,0.702299793,2.359083998,3.821660398
BJ-B-BP-05-2_S2090,BJ-B-BP-05-2_S2090,337111_020-BJ-B-BP_05_O-A-2_S106,BJB,5,no,2,BJ-B-BP-05-O-A-2_S8_L001_R1_001.cropped.fastq.gz ,bird_cliff_gradient,92.68,6.5,6.5,29.3,9.64,0.1,5,8,95,NA,8,NA,NA,20,NA,NA,136,5.72,7.375,10.247,0.812,47.33,45.015,0.143,7.353,9.749,0.791,NA,NA,NA,1.210737482,3307862918,3319625758,1.003556024,7.736668749,NA,NA,NA,NA,NA,NA,NA,NA,NA,327,0.538835345,0.461164655,0.855854502,3.882128973
